Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,NbGoals,NbObstructions,NbObstacles,Mean,Error,StdDev
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,1000,393.397 us,330.207 us,85.7701 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,10000,"5,360,725.956 us","66,681.502 us","17,320.2719 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,10000,"11,785,863.093 us","353,883.531 us","91,919.9305 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,10000,"4,555.510 us",335.611 us,87.1736 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,10,"59,144.533 us","2,419.808 us",628.5363 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,10,"31,930.546 us",668.263 us,173.5788 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,10,8.108 us,10.138 us,2.6333 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,100,"60,085.260 us","1,673.434 us",434.6682 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,100,"33,237.460 us","1,151.237 us",299.0295 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,100,46.696 us,33.158 us,8.6127 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,1000,"113,366.548 us","1,177.309 us",305.8016 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,1000,"115,964.982 us","9,938.657 us","2,581.5291 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,1000,382.624 us,209.711 us,54.4718 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,10000,"5,915,955.334 us","1,637,455.097 us","425,322.8695 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,10000,"13,873,218.183 us","328,813.868 us","85,408.1789 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,10,10000,"4,887.599 us","3,304.748 us",858.3959 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,100,10,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,100,10,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,100,10,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,100,100,"67,159.032 us","2,758.690 us",716.5595 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,100,100,"39,696.063 us",338.610 us,87.9526 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,1000,100,100,52.719 us,50.113 us,13.0166 us
