date,avoid_ambulance_mobilized_on_road
4:43:50,0.8891
4:44:00,0.8857
4:44:10,0.8822
4:44:20,0.8788
4:44:30,0.8755
4:44:40,0.8721
4:44:50,0.8688
4:45:00,0.8655
4:45:10,0.8625
4:45:20,0.8595
4:45:30,0.8566
4:45:40,0.8571
4:45:50,0.8577
4:46:00,0.8582
4:46:10,0.8587
4:46:20,0.8593
4:46:30,0.8598
4:46:40,0.8603
4:46:50,0.8609
4:47:00,0.8614
4:47:10,0.8619
4:47:20,0.8624
4:47:30,0.8629
4:47:40,0.8634
4:47:50,0.8639
4:48:00,0.8644
4:48:10,0.8649
4:48:20,0.8654
4:48:30,0.8659
4:48:40,0.8664
4:48:50,0.8669
4:49:00,0.8673
4:49:10,0.8678
4:49:20,0.8683
4:49:30,0.8687
4:49:40,0.8692
4:49:50,0.8697
4:50:00,0.8701
4:50:10,0.8706
4:50:20,0.871
4:50:30,0.8715
4:50:40,0.8719
4:50:50,0.8724
4:51:00,0.8728
4:51:10,0.8732
4:51:20,0.8737
4:51:30,0.8741
4:51:40,0.8745
4:51:50,0.875
4:52:00,0.8754
4:52:10,0.8758
4:52:20,0.8762
4:52:30,0.8766
4:52:40,0.877
4:52:50,0.8774
4:53:00,0.8778
4:53:10,0.8782
4:53:20,0.8786
4:53:30,0.879
4:53:40,0.8794
4:53:50,0.8798
4:54:00,0.8802
4:54:10,0.8806
4:54:20,0.881
4:54:30,0.8814
4:54:40,0.8817
4:54:50,0.8821
4:55:00,0.8825
4:55:10,0.8829
4:55:20,0.8832
4:55:30,0.8836
4:55:40,0.884
4:55:50,0.8843
4:56:00,0.8847
4:56:10,0.885
4:56:20,0.8854
4:56:30,0.8858
4:56:40,0.8861
4:56:50,0.8865
4:57:00,0.8868
4:57:10,0.8871
4:57:20,0.8875
4:57:30,0.8878
4:57:40,0.8882
4:57:50,0.8885
4:58:00,0.8888
4:58:10,0.8892
4:58:20,0.8895
4:58:30,0.8898
4:58:40,0.8902
4:58:50,0.8905
4:59:00,0.8908
4:59:10,0.8911
4:59:20,0.8914
4:59:30,0.8918
4:59:40,0.8921
4:59:50,0.8924
5:00:00,0.8927
5:00:10,0.893
5:00:20,0.8933
5:00:30,0.8936
5:00:40,0.8939
5:00:50,0.8942
5:01:00,0.8945
5:01:10,0.8948
5:01:20,0.8951
5:01:30,0.8954
5:01:40,0.8957
5:01:50,0.896
5:02:00,0.8963
5:02:10,0.8966
5:02:20,0.8969
5:02:30,0.8972
5:02:40,0.8975
5:02:50,0.8977
5:03:00,0.898
5:03:10,0.8983
5:03:20,0.8986
5:03:30,0.8989
5:03:40,0.8991
5:03:50,0.8994
5:04:00,0.8997
5:04:10,0.9
5:04:20,0.9002
5:04:30,0.9005
5:04:40,0.9008
5:04:50,0.901
5:05:00,0.9013
5:05:10,0.9015
5:05:20,0.9018
5:05:30,0.9021
5:05:40,0.9023
5:05:50,0.9026
5:06:00,0.9028
