Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,NbGoals,NbObstructions,NbObstacles,Mean,Error,StdDev,Median
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,1000,"57,277.938 us",35.6871 us,29.8003 us,"57,265.319 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,1000,"126,066.906 us","2,481.5237 us","4,660.9030 us","126,120.001 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,1000,511.642 us,3.5005 us,3.5947 us,510.455 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,10000,"4,087,963.040 us","306,911.1696 us","904,934.5081 us","3,421,552.676 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,10000,"12,224,501.577 us","13,193.6280 us","11,017.2758 us","12,225,048.789 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,10000,"3,264.195 us",16.5606 us,15.4908 us,"3,262.874 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,10,"37,241.029 us",117.8101 us,104.4355 us,"37,240.890 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,10,"19,724.198 us",48.0012 us,44.9003 us,"19,707.005 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,10,3.173 us,0.0077 us,0.0072 us,3.170 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,100,"38,758.445 us",155.1538 us,137.5398 us,"38,753.900 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,100,"21,667.314 us",76.8699 us,71.9041 us,"21,629.355 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,100,26.855 us,0.0836 us,0.0782 us,26.856 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,1000,"73,663.603 us",153.1019 us,135.7208 us,"73,644.303 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,1000,"109,510.160 us",213.7497 us,189.4835 us,"109,482.679 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,1000,295.448 us,1.5230 us,1.4246 us,295.863 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,10000,"3,480,272.450 us","3,646.7359 us","3,411.1587 us","3,480,508.043 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,10000,"13,051,381.006 us","53,204.0200 us","49,767.0685 us","13,042,782.716 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,10,10000,"3,323.192 us",18.6277 us,17.4243 us,"3,317.557 us"
