date,locals_warned_when_risk_imminent,dusty_environment,sd_dusty_environment,echo,sd_echo,depth_broken,sd_depth_broken,ultrasound_broken,sd_ultrasound_broken,noisy_image,sd_noisy_image,voice_down,sd_voice_down
2017-06-30 08:12:48.7532890,0.817537688442211,0.1375,0.0172187216424449,0.0245098039215686,0.0108259567872447,0.125628140703518,0.0166130746299576,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:49.7551190,0.817537688442211,0.1375,0.0172187216424449,0.0245098039215686,0.0108259567872447,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:50.7565870,0.817832080200501,0.1375,0.0172187216424449,0.0245098039215686,0.0108259567872447,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:51.7584550,0.817832080200501,0.1375,0.0172187216424449,0.0245098039215686,0.0108259567872447,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:52.7598390,0.817832080200501,0.1375,0.0172187216424449,0.024390243902439,0.0107738074219362,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:53.7610980,0.817832080200501,0.1375,0.0172187216424449,0.024390243902439,0.0107738074219362,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:54.7628360,0.817832080200501,0.1375,0.0172187216424449,0.024390243902439,0.0107738074219362,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:55.7642710,0.817832080200501,0.1375,0.0172187216424449,0.024390243902439,0.0107738074219362,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:56.7658180,0.817832080200501,0.1375,0.0172187216424449,0.024390243902439,0.0107738074219362,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:57.7677430,0.817832080200501,0.1375,0.0172187216424449,0.029126213592233,0.0117162813598417,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:58.7675450,0.817832080200501,0.1375,0.0172187216424449,0.029126213592233,0.0117162813598417,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:12:59.7703430,0.817832080200501,0.1375,0.0172187216424449,0.0384615384615385,0.0133341393323372,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:00.7701880,0.817832080200501,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:01.7732820,0.817832080200501,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:02.7746510,0.817832080200501,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:03.7764230,0.817832080200501,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:04.7777250,0.817832080200501,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:05.7777550,0.817832080200501,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.12531328320802,0.0165744212341558,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:06.7797940,0.817832080200501,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:07.7825240,0.818125,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:08.7837940,0.818125,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:09.7856030,0.818125,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:10.7846640,0.818125,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:11.7864560,0.818125,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:12.7869390,0.818125,0.1375,0.0172187216424449,0.0377358490566038,0.0130874876786414,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:13.7898700,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:14.7914560,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:15.7931110,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:16.7929550,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:17.7940620,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:18.7970910,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:19.7983050,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:20.7999580,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:21.7990920,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:22.8003690,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:23.8008180,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:24.8018180,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:25.8029820,0.818125,0.1375,0.0172187216424449,0.0375586854460094,0.013027243139652,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:26.8053520,0.818125,0.1375,0.0172187216424449,0.0420560747663551,0.0137207396979154,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:27.8032700,0.818125,0.1375,0.0172187216424449,0.0465116279069767,0.0143621428044995,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:28.8103820,0.818125,0.1375,0.0172187216424449,0.045662100456621,0.0141061004061717,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:29.8067320,0.818125,0.1375,0.0172187216424449,0.045662100456621,0.0141061004061717,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:30.8069930,0.818125,0.1375,0.0172187216424449,0.045662100456621,0.0141061004061717,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:31.8082480,0.818125,0.1375,0.0172187216424449,0.045662100456621,0.0141061004061717,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:32.8102010,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:33.8124380,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:34.8137080,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:35.8145150,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:36.8139390,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:37.8170340,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:38.8171710,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:39.8201810,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:40.8197900,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:41.8213980,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:42.8206090,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:43.8209820,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:44.8245340,0.818125,0.1375,0.0172187216424449,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:45.8263070,0.818125,0.13,0.0168151717208002,0.045045045045045,0.0139199754326203,0.125,0.0165359456941537,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:46.8263230,0.818125,0.13,0.0168151717208002,0.045045045045045,0.0139199754326203,0.1275,0.0166766116162727,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:47.8259360,0.8157875,0.1275,0.0166766116162727,0.045045045045045,0.0139199754326203,0.13,0.0168151717208002,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:48.8289090,0.81345,0.1275,0.0166766116162727,0.045045045045045,0.0139199754326203,0.1325,0.0169516776455901,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:49.8304410,0.8111125,0.1275,0.0166766116162727,0.045045045045045,0.0139199754326203,0.135,0.0170861786248418,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:50.8317080,0.808775,0.125,0.0165359456941537,0.045045045045045,0.0139199754326203,0.1375,0.0172187216424449,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:51.8338620,0.8064375,0.125,0.0165359456941537,0.045045045045045,0.0139199754326203,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:52.8346410,0.8041,0.125,0.0165359456941537,0.045045045045045,0.0139199754326203,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:53.8355160,0.8041,0.125,0.0165359456941537,0.045045045045045,0.0139199754326203,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:54.8357240,0.8041,0.125,0.0165359456941537,0.045045045045045,0.0139199754326203,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:55.8369710,0.8041,0.1225,0.0163931197457958,0.045045045045045,0.0139199754326203,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:56.8389070,0.8041,0.1225,0.0163931197457958,0.045045045045045,0.0139199754326203,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:57.8400790,0.8041,0.1225,0.0163931197457958,0.045045045045045,0.0139199754326203,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:58.8391350,0.8041,0.1225,0.0163931197457958,0.045045045045045,0.0139199754326203,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:13:59.8418110,0.8041,0.1225,0.0163931197457958,0.045045045045045,0.0139199754326203,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:00.8410610,0.8041,0.1225,0.0163931197457958,0.0493273542600897,0.0145013013768549,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:01.8421310,0.8041,0.1225,0.0163931197457958,0.0484581497797357,0.0142522828374194,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:02.8430120,0.8041,0.1225,0.0163931197457958,0.0484581497797357,0.0142522828374194,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:03.8443640,0.8041,0.1225,0.0163931197457958,0.0484581497797357,0.0142522828374194,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:04.8446260,0.8041,0.1225,0.0163931197457958,0.0482456140350877,0.0141913574455292,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:05.8451600,0.8041,0.1225,0.0163931197457958,0.0482456140350877,0.0141913574455292,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:06.8479150,0.80195,0.1225,0.0163931197457958,0.0482456140350877,0.0141913574455292,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:07.8496130,0.80195,0.1225,0.0163931197457958,0.0482456140350877,0.0141913574455292,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:08.8505880,0.80195,0.1225,0.0163931197457958,0.0482456140350877,0.0141913574455292,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:09.8516240,0.80195,0.1225,0.0163931197457958,0.0482456140350877,0.0141913574455292,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:10.8510600,0.80195,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:11.8542780,0.80195,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:12.8554250,0.80195,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:13.8566980,0.80195,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:14.8576490,0.80195,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:15.8580460,0.80195,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:16.8586360,0.80195,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:17.8591290,0.80195,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.0675,0.0125442965127583,0,0,0,0
2017-06-30 08:14:18.8602890,0.80195,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:19.8600700,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:20.8608160,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:21.8629100,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:22.8624830,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:23.8652850,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:24.8654560,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:25.8679320,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
2017-06-30 08:14:26.8695250,0.8041,0.1225,0.0163931197457958,0.0478260869565217,0.0140710545266189,0.14,0.0173493515728975,0.065,0.0123262930356211,0,0,0,0
