Probability;Severity;Risks
0.000087;0.7029;o_power_outage,o_blackspot,o_operator_in_blackspot;3
0.000816;0.6972;o_power_outage,o_phonenr_not_working,o_no_credit;3
0.000816;0.6972;o_power_outage,o_phonenr_not_working,o_unresponsive;3
0.000969;0.6723;o_power_outage,o_phonenr_not_working,o_gsm_out_of_service;3
0.000051;0.8217;o_power_outage,o_phonenr_not_working,o_operator_in_blackspot;3
0.000768;0.7056;o_power_outage,o_no_credit,o_unresponsive;3
0.000912;0.6804;o_power_outage,o_no_credit,o_gsm_out_of_service;3
0.000048;0.8316;o_power_outage,o_no_credit,o_operator_in_blackspot;3
0.000912;0.6804;o_power_outage,o_unresponsive,o_gsm_out_of_service;3
0.000048;0.8316;o_power_outage,o_unresponsive,o_operator_in_blackspot;3
0.000057;0.8019;o_power_outage,o_gsm_out_of_service,o_operator_in_blackspot;3
0.003944;0.5893;o_critical_battery,o_blackspot,o_phonenr_not_working;3
0.003712;0.5964;o_critical_battery,o_blackspot,o_no_credit;3
0.003712;0.5964;o_critical_battery,o_blackspot,o_unresponsive;3
0.004408;0.5751;o_critical_battery,o_blackspot,o_gsm_out_of_service;3
0.000232;0.7029;o_critical_battery,o_blackspot,o_operator_in_blackspot;3
0.002176;0.6972;o_critical_battery,o_phonenr_not_working,o_no_credit;3
0.002176;0.6972;o_critical_battery,o_phonenr_not_working,o_unresponsive;3
0.002584;0.6723;o_critical_battery,o_phonenr_not_working,o_gsm_out_of_service;3
0.000136;0.8217;o_critical_battery,o_phonenr_not_working,o_operator_in_blackspot;3
0.002048;0.7056;o_critical_battery,o_no_credit,o_unresponsive;3
0.002432;0.6804;o_critical_battery,o_no_credit,o_gsm_out_of_service;3
0.000128;0.8316;o_critical_battery,o_no_credit,o_operator_in_blackspot;3
0.002432;0.6804;o_critical_battery,o_unresponsive,o_gsm_out_of_service;3
0.000128;0.8316;o_critical_battery,o_unresponsive,o_operator_in_blackspot;3
0.000152;0.8019;o_critical_battery,o_gsm_out_of_service,o_operator_in_blackspot;3
0.007888;0.495012;o_blackspot,o_phonenr_not_working,o_no_credit;3
0.007888;0.495012;o_blackspot,o_phonenr_not_working,o_unresponsive;3
0.009367;0.477333;o_blackspot,o_phonenr_not_working,o_gsm_out_of_service;3
0.000493;0.583407;o_blackspot,o_phonenr_not_working,o_operator_in_blackspot;3
0.007424;0.500976;o_blackspot,o_no_credit,o_unresponsive;3
0.008816;0.483084;o_blackspot,o_no_credit,o_gsm_out_of_service;3
0.000464;0.590436;o_blackspot,o_no_credit,o_operator_in_blackspot;3
0.008816;0.483084;o_blackspot,o_unresponsive,o_gsm_out_of_service;3
0.000464;0.590436;o_blackspot,o_unresponsive,o_operator_in_blackspot;3
0.000551;0.569349;o_blackspot,o_gsm_out_of_service,o_operator_in_blackspot;3
0.004352;0.585648;o_phonenr_not_working,o_no_credit,o_unresponsive;3
0.005168;0.564732;o_phonenr_not_working,o_no_credit,o_gsm_out_of_service;3
0.000272;0.690228;o_phonenr_not_working,o_no_credit,o_operator_in_blackspot;3
0.005168;0.564732;o_phonenr_not_working,o_unresponsive,o_gsm_out_of_service;3
0.000272;0.690228;o_phonenr_not_working,o_unresponsive,o_operator_in_blackspot;3
0.000323;0.665577;o_phonenr_not_working,o_gsm_out_of_service,o_operator_in_blackspot;3
0.004864;0.571536;o_no_credit,o_unresponsive,o_gsm_out_of_service;3
0.000256;0.698544;o_no_credit,o_unresponsive,o_operator_in_blackspot;3
0.000304;0.673596;o_no_credit,o_gsm_out_of_service,o_operator_in_blackspot;3
0.000304;0.673596;o_unresponsive,o_gsm_out_of_service,o_operator_in_blackspot;3
0.0000005;0.9678875;o_faulty_code,o_compromised_system,o_power_outage,o_critical_battery;4
0.0000019;0.6888534;o_faulty_code,o_compromised_system,o_power_outage,o_blackspot;4
0.0000011;0.8052793;o_faulty_code,o_compromised_system,o_power_outage,o_phonenr_not_working;4
0.000001;0.8149814;o_faulty_code,o_compromised_system,o_power_outage,o_no_credit;4
0.000001;0.8149814;o_faulty_code,o_compromised_system,o_power_outage,o_unresponsive;4
0.0000012;0.785875;o_faulty_code,o_compromised_system,o_power_outage,o_gsm_out_of_service;4
0.0000001;0.9605138;o_faulty_code,o_compromised_system,o_power_outage,o_operator_in_blackspot;4
0.000005;0.6888534;o_faulty_code,o_compromised_system,o_critical_battery,o_blackspot;4
0.0000029;0.8052793;o_faulty_code,o_compromised_system,o_critical_battery,o_phonenr_not_working;4
0.0000028;0.8149814;o_faulty_code,o_compromised_system,o_critical_battery,o_no_credit;4
0.0000028;0.8149814;o_faulty_code,o_compromised_system,o_critical_battery,o_unresponsive;4
0.0000033;0.785875;o_faulty_code,o_compromised_system,o_critical_battery,o_gsm_out_of_service;4
0.0000002;0.9605138;o_faulty_code,o_compromised_system,o_critical_battery,o_operator_in_blackspot;4
0.0000106;0.5717483;o_faulty_code,o_compromised_system,o_blackspot,o_phonenr_not_working;4
0.00001;0.5786368;o_faulty_code,o_compromised_system,o_blackspot,o_no_credit;4
0.00001;0.5786368;o_faulty_code,o_compromised_system,o_blackspot,o_unresponsive;4
0.0000119;0.5579712;o_faulty_code,o_compromised_system,o_blackspot,o_gsm_out_of_service;4
0.0000006;0.6819648;o_faulty_code,o_compromised_system,o_blackspot,o_operator_in_blackspot;4
0.0000059;0.6764346;o_faulty_code,o_compromised_system,o_phonenr_not_working,o_no_credit;4
0.0000059;0.6764346;o_faulty_code,o_compromised_system,o_phonenr_not_working,o_unresponsive;4
0.000007;0.6522762;o_faulty_code,o_compromised_system,o_phonenr_not_working,o_gsm_out_of_service;4
0.0000004;0.7972265;o_faulty_code,o_compromised_system,o_phonenr_not_working,o_operator_in_blackspot;4
0.0000055;0.6845844;o_faulty_code,o_compromised_system,o_no_credit,o_unresponsive;4
0.0000066;0.660135;o_faulty_code,o_compromised_system,o_no_credit,o_gsm_out_of_service;4
0.0000003;0.8068316;o_faulty_code,o_compromised_system,o_no_credit,o_operator_in_blackspot;4
0.0000066;0.660135;o_faulty_code,o_compromised_system,o_unresponsive,o_gsm_out_of_service;4
0.0000003;0.8068316;o_faulty_code,o_compromised_system,o_unresponsive,o_operator_in_blackspot;4
0.0000004;0.7780162;o_faulty_code,o_compromised_system,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000084;0.6997964;o_faulty_code,o_power_outage,o_critical_battery,o_blackspot;4
0.0000049;0.8180719;o_faulty_code,o_power_outage,o_critical_battery,o_phonenr_not_working;4
0.0000046;0.8279282;o_faulty_code,o_power_outage,o_critical_battery,o_no_credit;4
0.0000046;0.8279282;o_faulty_code,o_power_outage,o_critical_battery,o_unresponsive;4
0.0000055;0.7983593;o_faulty_code,o_power_outage,o_critical_battery,o_gsm_out_of_service;4
0.0000003;0.9757725;o_faulty_code,o_power_outage,o_critical_battery,o_operator_in_blackspot;4
0.0000177;0.5822284;o_faulty_code,o_power_outage,o_blackspot,o_phonenr_not_working;4
0.0000167;0.5892432;o_faulty_code,o_power_outage,o_blackspot,o_no_credit;4
0.0000167;0.5892432;o_faulty_code,o_power_outage,o_blackspot,o_unresponsive;4
0.0000198;0.5681988;o_faulty_code,o_power_outage,o_blackspot,o_gsm_out_of_service;4
0.000001;0.6944652;o_faulty_code,o_power_outage,o_blackspot,o_operator_in_blackspot;4
0.0000098;0.6888336;o_faulty_code,o_power_outage,o_phonenr_not_working,o_no_credit;4
0.0000098;0.6888336;o_faulty_code,o_power_outage,o_phonenr_not_working,o_unresponsive;4
0.0000116;0.6642324;o_faulty_code,o_power_outage,o_phonenr_not_working,o_gsm_out_of_service;4
0.0000006;0.8118396;o_faulty_code,o_power_outage,o_phonenr_not_working,o_operator_in_blackspot;4
0.0000092;0.6971328;o_faulty_code,o_power_outage,o_no_credit,o_unresponsive;4
0.0000109;0.6722352;o_faulty_code,o_power_outage,o_no_credit,o_gsm_out_of_service;4
0.0000006;0.8216208;o_faulty_code,o_power_outage,o_no_credit,o_operator_in_blackspot;4
0.0000109;0.6722352;o_faulty_code,o_power_outage,o_unresponsive,o_gsm_out_of_service;4
0.0000006;0.8216208;o_faulty_code,o_power_outage,o_unresponsive,o_operator_in_blackspot;4
0.0000007;0.7922772;o_faulty_code,o_power_outage,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000473;0.5822284;o_faulty_code,o_critical_battery,o_blackspot,o_phonenr_not_working;4
0.0000445;0.5892432;o_faulty_code,o_critical_battery,o_blackspot,o_no_credit;4
0.0000445;0.5892432;o_faulty_code,o_critical_battery,o_blackspot,o_unresponsive;4
0.0000529;0.5681988;o_faulty_code,o_critical_battery,o_blackspot,o_gsm_out_of_service;4
0.0000028;0.6944652;o_faulty_code,o_critical_battery,o_blackspot,o_operator_in_blackspot;4
0.0000261;0.6888336;o_faulty_code,o_critical_battery,o_phonenr_not_working,o_no_credit;4
0.0000261;0.6888336;o_faulty_code,o_critical_battery,o_phonenr_not_working,o_unresponsive;4
0.000031;0.6642324;o_faulty_code,o_critical_battery,o_phonenr_not_working,o_gsm_out_of_service;4
0.0000016;0.8118396;o_faulty_code,o_critical_battery,o_phonenr_not_working,o_operator_in_blackspot;4
0.0000246;0.6971328;o_faulty_code,o_critical_battery,o_no_credit,o_unresponsive;4
0.0000292;0.6722352;o_faulty_code,o_critical_battery,o_no_credit,o_gsm_out_of_service;4
0.0000015;0.8216208;o_faulty_code,o_critical_battery,o_no_credit,o_operator_in_blackspot;4
0.0000292;0.6722352;o_faulty_code,o_critical_battery,o_unresponsive,o_gsm_out_of_service;4
0.0000015;0.8216208;o_faulty_code,o_critical_battery,o_unresponsive,o_operator_in_blackspot;4
0.0000018;0.7922772;o_faulty_code,o_critical_battery,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000947;0.4890719;o_faulty_code,o_blackspot,o_phonenr_not_working,o_no_credit;4
0.0000947;0.4890719;o_faulty_code,o_blackspot,o_phonenr_not_working,o_unresponsive;4
0.0001124;0.471605;o_faulty_code,o_blackspot,o_phonenr_not_working,o_gsm_out_of_service;4
0.0000059;0.5764061;o_faulty_code,o_blackspot,o_phonenr_not_working,o_operator_in_blackspot;4
0.0000891;0.4949643;o_faulty_code,o_blackspot,o_no_credit,o_unresponsive;4
0.0001058;0.477287;o_faulty_code,o_blackspot,o_no_credit,o_gsm_out_of_service;4
0.0000056;0.5833508;o_faulty_code,o_blackspot,o_no_credit,o_operator_in_blackspot;4
0.0001058;0.477287;o_faulty_code,o_blackspot,o_unresponsive,o_gsm_out_of_service;4
0.0000056;0.5833508;o_faulty_code,o_blackspot,o_unresponsive,o_operator_in_blackspot;4
0.0000066;0.5625168;o_faulty_code,o_blackspot,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000522;0.5786202;o_faulty_code,o_phonenr_not_working,o_no_credit,o_unresponsive;4
0.000062;0.5579552;o_faulty_code,o_phonenr_not_working,o_no_credit,o_gsm_out_of_service;4
0.0000033;0.6819453;o_faulty_code,o_phonenr_not_working,o_no_credit,o_operator_in_blackspot;4
0.000062;0.5579552;o_faulty_code,o_phonenr_not_working,o_unresponsive,o_gsm_out_of_service;4
0.0000033;0.6819453;o_faulty_code,o_phonenr_not_working,o_unresponsive,o_operator_in_blackspot;4
0.0000039;0.6575901;o_faulty_code,o_phonenr_not_working,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000584;0.5646776;o_faulty_code,o_no_credit,o_unresponsive,o_gsm_out_of_service;4
0.0000031;0.6901615;o_faulty_code,o_no_credit,o_unresponsive,o_operator_in_blackspot;4
0.0000036;0.6655128;o_faulty_code,o_no_credit,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000036;0.6655128;o_faulty_code,o_unresponsive,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000125;0.6955467;o_compromised_system,o_power_outage,o_critical_battery,o_blackspot;4
0.0000073;0.8131039;o_compromised_system,o_power_outage,o_critical_battery,o_phonenr_not_working;4
0.0000069;0.8229003;o_compromised_system,o_power_outage,o_critical_battery,o_no_credit;4
0.0000069;0.8229003;o_compromised_system,o_power_outage,o_critical_battery,o_unresponsive;4
0.0000082;0.793511;o_compromised_system,o_power_outage,o_critical_battery,o_gsm_out_of_service;4
0.0000004;0.9698468;o_compromised_system,o_power_outage,o_critical_battery,o_operator_in_blackspot;4
0.0000266;0.5786926;o_compromised_system,o_power_outage,o_blackspot,o_phonenr_not_working;4
0.0000251;0.5856648;o_compromised_system,o_power_outage,o_blackspot,o_no_credit;4
0.0000251;0.5856648;o_compromised_system,o_power_outage,o_blackspot,o_unresponsive;4
0.0000298;0.5647482;o_compromised_system,o_power_outage,o_blackspot,o_gsm_out_of_service;4
0.0000016;0.6902478;o_compromised_system,o_power_outage,o_blackspot,o_operator_in_blackspot;4
0.0000147;0.6846504;o_compromised_system,o_power_outage,o_phonenr_not_working,o_no_credit;4
0.0000147;0.6846504;o_compromised_system,o_power_outage,o_phonenr_not_working,o_unresponsive;4
0.0000174;0.6601986;o_compromised_system,o_power_outage,o_phonenr_not_working,o_gsm_out_of_service;4
0.0000009;0.8069094;o_compromised_system,o_power_outage,o_phonenr_not_working,o_operator_in_blackspot;4
0.0000138;0.6928992;o_compromised_system,o_power_outage,o_no_credit,o_unresponsive;4
0.0000164;0.6681528;o_compromised_system,o_power_outage,o_no_credit,o_gsm_out_of_service;4
0.0000009;0.8166312;o_compromised_system,o_power_outage,o_no_credit,o_operator_in_blackspot;4
0.0000164;0.6681528;o_compromised_system,o_power_outage,o_unresponsive,o_gsm_out_of_service;4
0.0000009;0.8166312;o_compromised_system,o_power_outage,o_unresponsive,o_operator_in_blackspot;4
0.000001;0.7874658;o_compromised_system,o_power_outage,o_gsm_out_of_service,o_operator_in_blackspot;4
0.000071;0.5786926;o_compromised_system,o_critical_battery,o_blackspot,o_phonenr_not_working;4
0.0000668;0.5856648;o_compromised_system,o_critical_battery,o_blackspot,o_no_credit;4
0.0000668;0.5856648;o_compromised_system,o_critical_battery,o_blackspot,o_unresponsive;4
0.0000793;0.5647482;o_compromised_system,o_critical_battery,o_blackspot,o_gsm_out_of_service;4
0.0000042;0.6902478;o_compromised_system,o_critical_battery,o_blackspot,o_operator_in_blackspot;4
0.0000392;0.6846504;o_compromised_system,o_critical_battery,o_phonenr_not_working,o_no_credit;4
0.0000392;0.6846504;o_compromised_system,o_critical_battery,o_phonenr_not_working,o_unresponsive;4
0.0000465;0.6601986;o_compromised_system,o_critical_battery,o_phonenr_not_working,o_gsm_out_of_service;4
0.0000024;0.8069094;o_compromised_system,o_critical_battery,o_phonenr_not_working,o_operator_in_blackspot;4
0.0000369;0.6928992;o_compromised_system,o_critical_battery,o_no_credit,o_unresponsive;4
0.0000438;0.6681528;o_compromised_system,o_critical_battery,o_no_credit,o_gsm_out_of_service;4
0.0000023;0.8166312;o_compromised_system,o_critical_battery,o_no_credit,o_operator_in_blackspot;4
0.0000438;0.6681528;o_compromised_system,o_critical_battery,o_unresponsive,o_gsm_out_of_service;4
0.0000023;0.8166312;o_compromised_system,o_critical_battery,o_unresponsive,o_operator_in_blackspot;4
0.0000027;0.7874658;o_compromised_system,o_critical_battery,o_gsm_out_of_service,o_operator_in_blackspot;4
0.000142;0.4861018;o_compromised_system,o_blackspot,o_phonenr_not_working,o_no_credit;4
0.000142;0.4861018;o_compromised_system,o_blackspot,o_phonenr_not_working,o_unresponsive;4
0.0001686;0.468741;o_compromised_system,o_blackspot,o_phonenr_not_working,o_gsm_out_of_service;4
0.0000089;0.5729057;o_compromised_system,o_blackspot,o_phonenr_not_working,o_operator_in_blackspot;4
0.0001336;0.4919584;o_compromised_system,o_blackspot,o_no_credit,o_unresponsive;4
0.0001587;0.4743885;o_compromised_system,o_blackspot,o_no_credit,o_gsm_out_of_service;4
0.0000084;0.5798082;o_compromised_system,o_blackspot,o_no_credit,o_operator_in_blackspot;4
0.0001587;0.4743885;o_compromised_system,o_blackspot,o_unresponsive,o_gsm_out_of_service;4
0.0000084;0.5798082;o_compromised_system,o_blackspot,o_unresponsive,o_operator_in_blackspot;4
0.0000099;0.5591007;o_compromised_system,o_blackspot,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000783;0.5751063;o_compromised_system,o_phonenr_not_working,o_no_credit,o_unresponsive;4
0.000093;0.5545668;o_compromised_system,o_phonenr_not_working,o_no_credit,o_gsm_out_of_service;4
0.0000049;0.6778039;o_compromised_system,o_phonenr_not_working,o_no_credit,o_operator_in_blackspot;4
0.000093;0.5545668;o_compromised_system,o_phonenr_not_working,o_unresponsive,o_gsm_out_of_service;4
0.0000049;0.6778039;o_compromised_system,o_phonenr_not_working,o_unresponsive,o_operator_in_blackspot;4
0.0000058;0.6535966;o_compromised_system,o_phonenr_not_working,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000876;0.5612484;o_compromised_system,o_no_credit,o_unresponsive,o_gsm_out_of_service;4
0.0000046;0.6859702;o_compromised_system,o_no_credit,o_unresponsive,o_operator_in_blackspot;4
0.0000055;0.6614713;o_compromised_system,o_no_credit,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0000055;0.6614713;o_compromised_system,o_unresponsive,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0001183;0.5878857;o_power_outage,o_critical_battery,o_blackspot,o_phonenr_not_working;4
0.0001114;0.5949686;o_power_outage,o_critical_battery,o_blackspot,o_no_credit;4
0.0001114;0.5949686;o_power_outage,o_critical_battery,o_blackspot,o_unresponsive;4
0.0001322;0.5737198;o_power_outage,o_critical_battery,o_blackspot,o_gsm_out_of_service;4
0.000007;0.701213;o_power_outage,o_critical_battery,o_blackspot,o_operator_in_blackspot;4
0.0000653;0.6955267;o_power_outage,o_critical_battery,o_phonenr_not_working,o_no_credit;4
0.0000653;0.6955267;o_power_outage,o_critical_battery,o_phonenr_not_working,o_unresponsive;4
0.0000775;0.6706865;o_power_outage,o_critical_battery,o_phonenr_not_working,o_gsm_out_of_service;4
0.0000041;0.8197279;o_power_outage,o_critical_battery,o_phonenr_not_working,o_operator_in_blackspot;4
0.0000614;0.7039066;o_power_outage,o_critical_battery,o_no_credit,o_unresponsive;4
0.000073;0.678767;o_power_outage,o_critical_battery,o_no_credit,o_gsm_out_of_service;4
0.0000038;0.8296042;o_power_outage,o_critical_battery,o_no_credit,o_operator_in_blackspot;4
0.000073;0.678767;o_power_outage,o_critical_battery,o_unresponsive,o_gsm_out_of_service;4
0.0000038;0.8296042;o_power_outage,o_critical_battery,o_unresponsive,o_operator_in_blackspot;4
0.0000046;0.7999754;o_power_outage,o_critical_battery,o_gsm_out_of_service,o_operator_in_blackspot;4
0.0002366;0.495012;o_power_outage,o_blackspot,o_phonenr_not_working,o_no_credit;4
0.0002366;0.495012;o_power_outage,o_blackspot,o_phonenr_not_working,o_unresponsive;4
0.000281;0.477333;o_power_outage,o_blackspot,o_phonenr_not_working,o_gsm_out_of_service;4
0.0000148;0.583407;o_power_outage,o_blackspot,o_phonenr_not_working,o_operator_in_blackspot;4
0.0002227;0.500976;o_power_outage,o_blackspot,o_no_credit,o_unresponsive;4
