Probability;Severity;Risks
0.0000016;0.6234449;o_pump_leak,o_pump_broken,o_power_outage,o_critical_battery,o_compromised_system;5
0.0000002;0.6174455;o_pump_leak,o_pump_broken,o_power_outage,o_faulty_code,o_compromised_system;5
0.0000006;0.6174455;o_pump_leak,o_pump_broken,o_critical_battery,o_faulty_code,o_compromised_system;5
0.0000007;0.6637224;o_pump_leak,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code;5
0.000001;0.6596917;o_pump_leak,o_empty_reserve,o_power_outage,o_critical_battery,o_compromised_system;5
0.0000002;0.6533435;o_pump_leak,o_empty_reserve,o_power_outage,o_faulty_code,o_compromised_system;5
0.0000004;0.6533435;o_pump_leak,o_empty_reserve,o_critical_battery,o_faulty_code,o_compromised_system;5
0.0000001;0.7162367;o_pump_leak,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;5
0.0000004;0.7713531;o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code;5
0.0000005;0.7666688;o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_compromised_system;5
0.0000001;0.759291;o_pump_broken,o_empty_reserve,o_power_outage,o_faulty_code,o_compromised_system;5
0.0000002;0.759291;o_pump_broken,o_empty_reserve,o_critical_battery,o_faulty_code,o_compromised_system;5
0.0000001;0.8323832;o_pump_broken,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;5
0;0.8807776;o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;5
0.000002;0.4333006;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery;6
0.0000003;0.4291309;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_faulty_code;6
0.0000004;0.4265248;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_compromised_system;6
0.0000008;0.4291309;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_critical_battery,o_faulty_code;6
0.0000012;0.4265248;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_critical_battery,o_compromised_system;6
0.0000002;0.4214065;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_faulty_code,o_compromised_system;6
0.0000003;0.4704406;o_relay_broken,o_pump_leak,o_pump_broken,o_power_outage,o_critical_battery,o_faulty_code;6
0.0000004;0.4675837;o_relay_broken,o_pump_leak,o_pump_broken,o_power_outage,o_critical_battery,o_compromised_system;6
0.0000001;0.4630841;o_relay_broken,o_pump_leak,o_pump_broken,o_power_outage,o_faulty_code,o_compromised_system;6
0.0000002;0.4630841;o_relay_broken,o_pump_leak,o_pump_broken,o_critical_battery,o_faulty_code,o_compromised_system;6
0.0000002;0.4977918;o_relay_broken,o_pump_leak,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code;6
0.0000003;0.4947688;o_relay_broken,o_pump_leak,o_empty_reserve,o_power_outage,o_critical_battery,o_compromised_system;6
0;0.4900076;o_relay_broken,o_pump_leak,o_empty_reserve,o_power_outage,o_faulty_code,o_compromised_system;6
0.0000001;0.4900076;o_relay_broken,o_pump_leak,o_empty_reserve,o_critical_battery,o_faulty_code,o_compromised_system;6
0;0.5371776;o_relay_broken,o_pump_leak,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;6
0.0000001;0.5785148;o_relay_broken,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code;6
0.0000001;0.5750016;o_relay_broken,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_compromised_system;6
0;0.5694683;o_relay_broken,o_pump_broken,o_empty_reserve,o_power_outage,o_faulty_code,o_compromised_system;6
0.0000001;0.5694683;o_relay_broken,o_pump_broken,o_empty_reserve,o_critical_battery,o_faulty_code,o_compromised_system;6
0;0.6242874;o_relay_broken,o_pump_broken,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;6
0;0.6605832;o_relay_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;6
0.0000001;0.5708013;o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code;6
0.0000001;0.5673349;o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_compromised_system;6
0;0.5618754;o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_faulty_code,o_compromised_system;6
0.0000001;0.5618754;o_pump_leak,o_pump_broken,o_empty_reserve,o_critical_battery,o_faulty_code,o_compromised_system;6
0;0.6159636;o_pump_leak,o_pump_broken,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;6
0;0.6517754;o_pump_leak,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;6
0;0.7574687;o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;6
0;0.428101;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code;7
0;0.4255012;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_compromised_system;7
0;0.4214065;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_faulty_code,o_compromised_system;7
0;0.4214065;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_critical_battery,o_faulty_code,o_compromised_system;7
0;0.4619727;o_relay_broken,o_pump_leak,o_pump_broken,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;7
0;0.4888316;o_relay_broken,o_pump_leak,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;7
0;0.5681016;o_relay_broken,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;7
0;0.5605269;o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;7
0;0.4203952;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;8
